event_id,historical_symbol,first_trade_ts_utc,minute_ts_utc,relative_minute,equity_trade_count,share_volume,log_share_volume,dollar_volume,share_turnover,option_trade_count,option_contract_volume,log_option_volume,option_call_volume,option_put_volume,quoted_spread_pct,effective_spread_pct,realized_spread_5m_pct,price_impact_5m_pct,absolute_order_imbalance,order_flow_source,research_use_only
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:57:00.000Z,11,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:58:00.000Z,12,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:59:00.000Z,13,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:00:00.000Z,14,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:01:00.000Z,15,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:02:00.000Z,16,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:03:00.000Z,17,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:04:00.000Z,18,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:05:00.000Z,19,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:06:00.000Z,20,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:07:00.000Z,21,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:08:00.000Z,22,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:09:00.000Z,23,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:10:00.000Z,24,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:11:00.000Z,25,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:12:00.000Z,26,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:13:00.000Z,27,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:14:00.000Z,28,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:15:00.000Z,29,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T18:16:00.000Z,30,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:13:00.000Z,-30,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:14:00.000Z,-29,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:15:00.000Z,-28,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:16:00.000Z,-27,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:17:00.000Z,-26,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:18:00.000Z,-25,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:19:00.000Z,-24,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:20:00.000Z,-23,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:21:00.000Z,-22,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:22:00.000Z,-21,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:23:00.000Z,-20,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:24:00.000Z,-19,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:25:00.000Z,-18,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:26:00.000Z,-17,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:27:00.000Z,-16,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:28:00.000Z,-15,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:29:00.000Z,-14,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:30:00.000Z,-13,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:31:00.000Z,-12,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:32:00.000Z,-11,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:33:00.000Z,-10,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:34:00.000Z,-9,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:35:00.000Z,-8,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:36:00.000Z,-7,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:37:00.000Z,-6,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:38:00.000Z,-5,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:39:00.000Z,-4,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:40:00.000Z,-3,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:41:00.000Z,-2,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:42:00.000Z,-1,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:43:00.000Z,0,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:44:00.000Z,1,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:45:00.000Z,2,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:46:00.000Z,3,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:47:00.000Z,4,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:48:00.000Z,5,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:49:00.000Z,6,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:50:00.000Z,7,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:51:00.000Z,8,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:52:00.000Z,9,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:53:00.000Z,10,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:54:00.000Z,11,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:55:00.000Z,12,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:56:00.000Z,13,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:57:00.000Z,14,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:58:00.000Z,15,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T20:59:00.000Z,16,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:00:00.000Z,17,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:01:00.000Z,18,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:02:00.000Z,19,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:03:00.000Z,20,,,,,,,,,,,,,,,,,1
