historical_symbol,trade_date,roles,event_ids,interval_count,window_intervals_local,requested_regular_session_minutes,quote_extension_intervals_local,requested_quote_minutes,require_equity_trades,require_equity_quotes,require_option_trades_full_replication,require_option_quotes_full_replication,itch_requirement,shares_outstanding_required,research_use_only
SNX,2015-03-19,baseline,HEJFE-238D29A9B584466D,1,15:24-16:00,37,15:24-16:00,37,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAG,2015-03-20,baseline,HEJFE-EDF80619CED083CB,1,14:49-15:49,61,14:49-15:54,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CREE,2015-03-20,baseline,HEJFE-D35C7804C2F5326C,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
GME,2015-03-20,baseline,HEJFE-753716A61B8622B0,1,15:12-16:00,49,15:12-16:00,49,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ILMN,2015-03-20,baseline,HEJFE-45559DD90D876D39,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
MAT,2015-03-20,baseline,HEJFE-263620F13A6443DD,1,14:09-15:09,61,14:09-15:14,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
NOW,2015-03-20,baseline,HEJFE-47A3794D1C360650,1,14:03-15:03,61,14:03-15:08,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
PVH,2015-03-20,baseline,HEJFE-DF726FADF321F8E3,1,14:48-15:48,61,14:48-15:53,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
RH,2015-03-20,baseline,HEJFE-9B84208BA575EAC4,1,15:11-16:00,50,15:11-16:00,50,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SNX,2015-03-20,baseline,HEJFE-238D29A9B584466D,1,15:24-16:00,37,15:24-16:00,37,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
AMP,2015-03-23,baseline,HEJFE-5ED55A2EAC950921,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAG,2015-03-23,baseline,HEJFE-EDF80619CED083CB,1,14:49-15:49,61,14:49-15:54,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAKE,2015-03-23,baseline,HEJFE-760E36DA94752F1E,1,13:52-14:52,61,13:52-14:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
COL,2015-03-23,baseline,HEJFE-791693865584F9CB,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CREE,2015-03-23,baseline,HEJFE-D35C7804C2F5326C,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
GME,2015-03-23,baseline,HEJFE-753716A61B8622B0,1,15:12-16:00,49,15:12-16:00,49,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ILMN,2015-03-23,baseline,HEJFE-45559DD90D876D39,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
MAT,2015-03-23,baseline,HEJFE-263620F13A6443DD,1,14:09-15:09,61,14:09-15:14,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
NOW,2015-03-23,baseline,HEJFE-47A3794D1C360650,1,14:03-15:03,61,14:03-15:08,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
PVH,2015-03-23,baseline,HEJFE-DF726FADF321F8E3,1,14:48-15:48,61,14:48-15:53,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
RH,2015-03-23,baseline,HEJFE-9B84208BA575EAC4,1,15:11-16:00,50,15:11-16:00,50,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SKX,2015-03-23,baseline,HEJFE-F170013A9B3F85E2,1,14:54-15:54,61,14:54-15:59,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SNX,2015-03-23,baseline,HEJFE-238D29A9B584466D,1,15:24-16:00,37,15:24-16:00,37,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
AMP,2015-03-24,baseline,HEJFE-5ED55A2EAC950921,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAG,2015-03-24,baseline,HEJFE-EDF80619CED083CB,1,14:49-15:49,61,14:49-15:54,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAKE,2015-03-24,baseline,HEJFE-760E36DA94752F1E,1,13:52-14:52,61,13:52-14:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
COL,2015-03-24,baseline,HEJFE-791693865584F9CB,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CREE,2015-03-24,baseline,HEJFE-D35C7804C2F5326C,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
GME,2015-03-24,baseline,HEJFE-753716A61B8622B0,1,15:12-16:00,49,15:12-16:00,49,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ILMN,2015-03-24,baseline,HEJFE-45559DD90D876D39,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
MAT,2015-03-24,baseline,HEJFE-263620F13A6443DD,1,14:09-15:09,61,14:09-15:14,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
NOW,2015-03-24,baseline,HEJFE-47A3794D1C360650,1,14:03-15:03,61,14:03-15:08,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
PVH,2015-03-24,baseline,HEJFE-DF726FADF321F8E3,1,14:48-15:48,61,14:48-15:53,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
RH,2015-03-24,baseline,HEJFE-9B84208BA575EAC4,1,15:11-16:00,50,15:11-16:00,50,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SKX,2015-03-24,baseline,HEJFE-F170013A9B3F85E2,1,14:54-15:54,61,14:54-15:59,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SNX,2015-03-24,baseline,HEJFE-238D29A9B584466D,1,15:24-16:00,37,15:24-16:00,37,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
AMP,2015-03-25,baseline,HEJFE-5ED55A2EAC950921,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAG,2015-03-25,event,HEJFE-EDF80619CED083CB,1,14:49-15:49,61,14:49-15:54,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAKE,2015-03-25,baseline,HEJFE-760E36DA94752F1E,1,13:52-14:52,61,13:52-14:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
COL,2015-03-25,baseline,HEJFE-791693865584F9CB,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CREE,2015-03-25,baseline,HEJFE-D35C7804C2F5326C,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
GME,2015-03-25,baseline,HEJFE-753716A61B8622B0,1,15:12-16:00,49,15:12-16:00,49,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ILMN,2015-03-25,baseline,HEJFE-45559DD90D876D39,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
MAT,2015-03-25,baseline,HEJFE-263620F13A6443DD,1,14:09-15:09,61,14:09-15:14,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
NOW,2015-03-25,baseline,HEJFE-47A3794D1C360650,1,14:03-15:03,61,14:03-15:08,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
