event_id,historical_symbol,trade_date,primary_exchange,resolution_status,source_id,source_family,source_reference,itch_requirement,research_use_only
HEJFE-2F14F138D09BCA76,IBKC,2012-01-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-48B08BAEDCEEDEFC,SNDK,2015-01-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-54A5D1D8A5B593C8,NUAN,2015-02-05,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-7CA38C1FDA5EA4D0,CENX,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-809E53BB4081FBAE,ROVI,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-00D863517A3A754C,URI,2015-01-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0AA84E6E44ED02D8,AMSG,2015-02-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8A0517D50278EAE4,POWI,2015-04-29,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-1FCAAB3F7CC931CF,VRSN,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-FBFFFD99898188CF,COLM,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0BCEF81B6C0111FB,COLM,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-F170013A9B3F85E2,SKX,2015-04-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D7FD00AF94DD8F41,JNPR,2011-04-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-2558DC6865781793,JNPR,2013-04-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E61095F8DC4132DE,JNPR,2013-07-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-F20ECC0C09BBC89E,JNPR,2013-10-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-06AE65B9C8FB0395,STMP,2013-04-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-2C887DA6F617936F,TIBX,2013-09-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E575622C8FDAB71F,ISIL,2013-04-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-198DE6D99E934F32,EW,2011-04-20,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-ED329F780A1085DA,EW,2013-04-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-BFE8A42E0C19BA39,VDSI,2011-10-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-947F50EBAFBA54DC,CRL,2015-02-10,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-4FB44934BC5C5221,DNDN,2011-08-03,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8A11E54A9679E09D,ILMN,2015-01-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-45559DD90D876D39,ILMN,2015-04-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-3046057647A0FC5C,BRKR,2015-05-06,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-1E37362063697486,FLR,2015-02-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-830337A8564B826E,ALGN,2013-10-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D6AE4ACB99958A73,SGEN,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-791693865584F9CB,COL,2015-04-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-74011A906BCCABE9,AGP,2011-10-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A3C5C43F6AC75C44,PRU,2015-05-06,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-753716A61B8622B0,GME,2015-03-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-238D29A9B584466D,SNX,2015-03-31,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-BB62E8864F35DCD0,WLL,2015-02-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5408AADD0CBD54E8,CMP,2015-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-3A94836BBC9F224A,TPX,2011-07-26,,unresolved,,,,conditional_pending_exchange_resolution,1
