historical_symbol,trade_date,shares_outstanding,resolution_status,source_id,source_family,source_reference,fact_date,available_at,staleness_days,research_use_only
DNDN,2011-08-03,,unresolved,,,,,,,1
FL,2011-08-03,,unresolved,,,,,,,1
FL,2011-08-04,,unresolved,,,,,,,1
FL,2011-08-05,,unresolved,,,,,,,1
FL,2011-08-08,,unresolved,,,,,,,1
FL,2011-08-09,,unresolved,,,,,,,1
FL,2011-08-10,,unresolved,,,,,,,1
FL,2011-08-11,,unresolved,,,,,,,1
FL,2011-08-12,,unresolved,,,,,,,1
FL,2011-08-15,,unresolved,,,,,,,1
FL,2011-08-16,,unresolved,,,,,,,1
FL,2011-08-17,,unresolved,,,,,,,1
FL,2011-08-18,,unresolved,,,,,,,1
MUSA,2011-09-21,,unresolved,,,,,,,1
LSTR,2011-09-22,,unresolved,,,,,,,1
MUSA,2011-09-22,,unresolved,,,,,,,1
LSTR,2011-09-23,,unresolved,,,,,,,1
MUSA,2011-09-23,,unresolved,,,,,,,1
LSTR,2011-09-26,,unresolved,,,,,,,1
MUSA,2011-09-26,,unresolved,,,,,,,1
LSTR,2011-09-27,,unresolved,,,,,,,1
MUSA,2011-09-27,,unresolved,,,,,,,1
VDSI,2011-09-27,,unresolved,,,,,,,1
AGP,2011-09-28,,unresolved,,,,,,,1
LSTR,2011-09-28,,unresolved,,,,,,,1
MUSA,2011-09-28,,unresolved,,,,,,,1
VDSI,2011-09-28,,unresolved,,,,,,,1
AGP,2011-09-29,,unresolved,,,,,,,1
LSTR,2011-09-29,,unresolved,,,,,,,1
MUSA,2011-09-29,,unresolved,,,,,,,1
VDSI,2011-09-29,,unresolved,,,,,,,1
AGP,2011-09-30,,unresolved,,,,,,,1
LSTR,2011-09-30,,unresolved,,,,,,,1
MUSA,2011-09-30,,unresolved,,,,,,,1
VDSI,2011-09-30,,unresolved,,,,,,,1
AGP,2011-10-03,,unresolved,,,,,,,1
LSTR,2011-10-03,,unresolved,,,,,,,1
MUSA,2011-10-03,,unresolved,,,,,,,1
VDSI,2011-10-03,,unresolved,,,,,,,1
AGP,2011-10-04,,unresolved,,,,,,,1
LSTR,2011-10-04,,unresolved,,,,,,,1
MUSA,2011-10-04,,unresolved,,,,,,,1
VDSI,2011-10-04,,unresolved,,,,,,,1
AGP,2011-10-05,,unresolved,,,,,,,1
LSTR,2011-10-05,,unresolved,,,,,,,1
MUSA,2011-10-05,,unresolved,,,,,,,1
VDSI,2011-10-05,,unresolved,,,,,,,1
AGP,2011-10-06,,unresolved,,,,,,,1
LSTR,2011-10-06,,unresolved,,,,,,,1
MUSA,2011-10-06,,unresolved,,,,,,,1
VDSI,2011-10-06,,unresolved,,,,,,,1
AGP,2011-10-07,,unresolved,,,,,,,1
LSTR,2011-10-07,,unresolved,,,,,,,1
MUSA,2011-10-07,,unresolved,,,,,,,1
