event_id,permno,gvkey,historical_symbol,first_documented_illicit_trade_ts,public_announcement_ts,information_asymmetry_seconds,hacked_flag,sec_documented_trade_flag,first_trade_timestamp_source,announcement_timestamp_source,timestamp_confidence,research_use_only
HEJFE-6101FFEDBA6EE41B,23835,6867,MDU,2015-02-02 14:47:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-977FEBE8CA3CFCB6,23835,6867,MDU,2015-05-04 15:57:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-4291CBF555CED6A9,24459,8606,PBI,2015-04-29 14:47:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-76B03970FA6BDB42,24969,11304,AVA,2013-02-19 15:46:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-376286473ECFECB4,25778,3310,CA,2011-07-20 15:46:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-2D81C70F59E076BA,25778,3310,CA,2012-01-24 13:32:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-E8C5063581BE7EB7,25785,4839,F,2015-01-28 15:59:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-7C93D3838E60926C,26201,3358,CMTL,2014-12-10 15:41:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-99F3FC8CE022DEA1,27043,11115,VAR,2012-01-25 12:46:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-A25F33B630365184,27633,9299,R,2015-02-02 15:43:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-36433565499915E2,35051,8304,PLL,2015-02-23 15:03:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-7CEFB3FE3D986464,35991,9216,ROG,2015-02-17 15:44:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-33FC1D00348D7C59,35991,9216,ROG,2015-04-29 15:29:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-30CA515BC590DDA6,36003,9225,ROL,2012-01-24 10:14:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-1783DE88400AF6CC,38156,11506,WMB,2015-02-18 14:54:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-BD3F577ADD90D512,38659,5116,GNTX,2013-10-21 15:21:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-263620F13A6443DD,39538,7116,MAT,2015-04-16 14:39:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-704E64D64C11C119,42796,7260,MDP,2012-01-23 14:39:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-9861757889227DD4,44506,6003,IDTI,2015-02-02 14:24:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-EFFA194386ABDD28,44506,6003,IDTI,2015-05-04 15:40:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-7E8FA3E5E417B5E7,45277,6097,IGT,2012-01-23 15:31:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-4DEF5FDB3210E91B,45911,1327,SWKS,2015-01-22 15:41:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-9DF82252ED78E41F,46690,2593,CBT,2015-04-29 13:33:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-E25BAF3CFF23A3BE,46877,2044,BCR,2015-01-29 15:27:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-5089F8E69B6BC646,47379,6379,KELYA,2013-05-07 15:49:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-66BA40A20548B7E3,48486,6565,LRCX,2013-04-24 13:43:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-334BAA0D940A418A,51369,10453,TER,2015-01-28 15:49:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-D1D8268651584B6A,52090,7146,MKC,2013-04-01 15:38:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-0273F1BFCD285E7F,52337,7750,THC,2015-02-23 15:57:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
